"essay_id","term","student_id","age","gender","ethnicity","ethnicity_list","score","critical_response","development","organization","word_choice","sentence_structure_grammar_and_mechanics","gpt_score_p1","gpt_critical_response_p1","gpt_development_p1","gpt_organization_p1","gpt_word_choice_p1","gpt_sentence_structure_grammar_and_mechanics_p1","score_diff_p1","cr_diff_p1","dev_diff_p1","org_diff_p1","wc_diff_p1","ssgm_diff_p1","gpt_score_p2","gpt_critical_response_p2","gpt_development_p2","gpt_organization_p2","gpt_word_choice_p2","gpt_sentence_structure_grammar_and_mechanics_p2","score_diff_p2","cr_diff_p2","dev_diff_p2","org_diff_p2","wc_diff_p2","ssgm_diff_p2","gpt_score_p3","gpt_critical_response_p3","gpt_development_p3","gpt_organization_p3","gpt_word_choice_p3","gpt_sentence_structure_grammar_and_mechanics_p3","score_diff_p3","cr_diff_p3","dev_diff_p3","org_diff_p3","wc_diff_p3","ssgm_diff_p3"
"1A","SP23","1","18","Female","Black","Black",50,9,10,10,11,10,35,8,7,8,6,6,-15,-1,-3,-2,-5,-4,37,9,8,8,6,6,-13,0,-2,-2,-5,-4,35,8,8,7,6,6,-15,-1,-2,-3,-5,-4
"1B","SP23","1","18","Female","Black","Black",48,10,9,10,9,10,40,10,9,8,7,6,-8,0,0,-2,-2,-4,30,7,6,6,6,5,-18,-3,-3,-4,-3,-5,39,10,8,8,7,6,-9,0,-1,-2,-2,-4
"2A","SP23","2","18","Female","Not Reported",,30,6,6,6,6,6,29,7,6,6,6,4,-1,1,0,0,0,-2,25,6,5,6,4,4,-5,0,-1,0,-2,-2,27,6,6,6,5,4,-3,0,0,0,-1,-2
"2B","SP23","2","18","Female","Not Reported",,43,9,8,10,8,8,40,9,9,8,8,6,-3,0,1,-2,0,-2,31,7,7,7,5,5,-12,-2,-1,-3,-3,-3,34,8,8,7,6,5,-9,-1,0,-3,-2,-3
"3A","SP23","3","18","Female","Hispanic","Hispanic",41,8,8,9,8,8,35,8,8,7,6,6,-6,0,0,-2,-2,-2,34,8,8,7,6,5,-7,0,0,-2,-2,-3,35,8,8,7,6,6,-6,0,0,-2,-2,-2
"3B","SP23","3","18","Female","Hispanic","Hispanic",37,8,7,7,7,8,42,10,10,8,8,6,5,2,3,1,1,-2,37,8,8,8,7,6,0,0,1,1,0,-2,39,9,9,8,7,6,2,1,2,1,0,-2
"4A","SP23","4","25","Female","Black","Black",39,7,8,8,8,8,29,7,6,6,6,4,-10,0,-2,-2,-2,-4,23,5,5,5,4,4,-16,-2,-3,-3,-4,-4,29,6,6,6,6,5,-10,-1,-2,-2,-2,-3
"4B","SP23","4","25","Female","Black","Black",33,7,6,6,7,7,31,8,6,6,6,5,-2,1,0,0,-1,-2,33,7,7,7,6,6,0,0,1,1,-1,-1,36,8,8,8,6,6,3,1,2,2,-1,-1
"5A","SP23","5","29","Male","Asian","Asian",40,7,7,8,9,9,36,8,8,8,6,6,-4,1,1,0,-3,-3,41,9,9,9,7,7,1,2,2,1,-2,-2,36,8,8,8,6,6,-4,1,1,0,-3,-3
"5B","SP23","5","29","Male","Asian","Asian",47,9,10,10,8,10,42,10,10,8,8,6,-5,1,0,-2,0,-4,41,9,9,9,7,7,-6,0,-1,-1,-1,-3,41,9,10,8,8,6,-6,0,0,-2,0,-4
"6A","SP23","6","18","Female","Not Reported",,44,8,10,10,8,8,34,8,8,7,6,5,-10,0,-2,-3,-2,-3,32,7,7,7,6,5,-12,-1,-3,-3,-2,-3,36,8,8,8,6,6,-8,0,-2,-2,-2,-2
"6B","SP23","6","18","Female","Not Reported",,42,9,9,8,8,8,42,10,10,8,8,6,0,1,1,0,0,-2,41,9,9,9,7,7,-1,0,0,1,-1,-1,39,9,9,8,7,6,-3,0,0,0,-1,-2
"7A","SP23","7","18","Female","Two or More Ethnicities","Hispanic, White",40,8,8,8,8,8,34,8,7,7,6,6,-6,0,-1,-1,-2,-2,27,6,6,6,5,4,-13,-2,-2,-2,-3,-4,36,8,8,8,6,6,-4,0,0,0,-2,-2
"7B","SP23","7","18","Female","Two or More Ethnicities","Hispanic, White",37,7,7,7,8,8,37,9,9,7,7,5,0,2,2,0,-1,-3,36,8,8,8,6,6,-1,1,1,1,-2,-2,38,8,9,8,7,6,1,1,2,1,-1,-2
"8A","SP23","8","18","Female","Two or More Ethnicities","Black, Hispanic",26,5,5,4,6,6,30,8,6,6,6,4,4,3,1,2,0,-2,22,5,5,5,4,3,-4,0,0,1,-2,-3,30,7,7,6,6,4,4,2,2,2,0,-2
"8B","SP23","8","18","Female","Two or More Ethnicities","Black, Hispanic",44,9,10,8,8,9,28,7,7,6,5,3,-16,-2,-3,-2,-3,-6,31,7,7,7,5,5,-13,-2,-3,-1,-3,-4,33,8,8,7,6,4,-11,-1,-2,-1,-2,-5
"9A","SP23","9","21","Female","Asian","Asian",52,10,10,10,11,11,39,9,9,8,7,6,-13,-1,-1,-2,-4,-5,41,9,9,9,7,7,-11,-1,-1,-1,-4,-4,37,8,8,8,7,6,-15,-2,-2,-2,-4,-5
"9B","SP23","9","21","Female","Asian","Asian",56,11,12,11,11,11,43,10,10,8,8,7,-13,-1,-2,-3,-3,-4,41,9,9,9,7,7,-15,-2,-3,-2,-4,-4,41,9,9,9,7,7,-15,-2,-3,-2,-4,-4
"10A","SP23","10","20","Male","Asian","Asian",31,6,6,6,6,7,39,9,9,8,7,6,8,3,3,2,1,-1,35,8,8,8,6,5,4,2,2,2,0,-2,36,8,8,8,6,6,5,2,2,2,0,-1
"10B","SP23","10","20","Male","Asian","Asian",42,9,9,8,8,8,42,10,10,8,8,6,0,1,1,0,0,-2,41,9,9,9,7,7,-1,0,0,1,-1,-1,40,9,9,9,7,6,-2,0,0,1,-1,-2
"11A","SP23","11","18","Female","Two or More Ethnicities","Black, Hispanic",34,7,7,5,7,8,31,8,7,6,5,5,-3,1,0,1,-2,-3,34,8,7,7,6,6,0,1,0,2,-1,-2,36,8,8,7,7,6,2,1,1,2,0,-2
"11B","SP23","11","18","Female","Two or More Ethnicities","Black, Hispanic",53,11,9,11,11,11,39,10,8,8,6,7,-14,-1,-1,-3,-5,-4,39,9,9,8,7,6,-14,-2,0,-3,-4,-5,43,10,10,9,8,6,-10,-1,1,-2,-3,-5
"12A","SP23","12","19","Female","Two or More Ethnicities","Hispanic, White",44,8,10,8,10,8,31,8,7,6,5,5,-13,0,-3,-2,-5,-3,31,7,7,6,6,5,-13,-1,-3,-2,-4,-3,36,8,8,7,7,6,-8,0,-2,-1,-3,-2
"12B","SP23","12","19","Female","Two or More Ethnicities","Hispanic, White",42,9,8,8,8,9,39,10,8,8,6,7,-3,1,0,0,-2,-2,39,9,9,8,7,6,-3,0,1,0,-1,-3,43,10,10,9,8,6,1,1,2,1,0,-3
"13A","SP23","13","35","Female","Hispanic","Hispanic",39,7,8,8,8,8,40,10,9,8,6,7,1,3,1,0,-2,-1,37,8,8,8,7,6,-2,1,0,0,-1,-2,40,9,9,9,7,6,1,2,1,1,-1,-2
"13B","SP23","13","35","Female","Hispanic","Hispanic",40,8,8,8,8,8,40,10,9,8,6,7,0,2,1,0,-2,-1,35,8,8,7,6,6,-5,0,0,-1,-2,-2,39,8,9,8,8,6,-1,0,1,0,0,-2
"14A","SP23","14","40","Female","Two or More Ethnicities","Black, Hispanic",31,6,5,6,7,7,32,8,7,7,5,5,1,2,2,1,-2,-2,31,7,7,6,6,5,0,1,2,0,-1,-2,36,8,8,7,7,6,5,2,3,1,0,-1
"14B","SP23","14","40","Female","Two or More Ethnicities","Black, Hispanic",59,12,12,12,12,11,40,10,9,8,6,7,-19,-2,-3,-4,-6,-4,39,9,9,8,7,6,-20,-3,-3,-4,-5,-5,45,10,10,10,8,7,-14,-2,-2,-2,-4,-4
"15A","SP23","15","31","Female","Two or More Ethnicities","Hispanic, White",32,5,6,7,7,7,33,8,7,7,5,6,1,3,1,0,-2,-1,31,7,7,6,6,5,-1,2,1,-1,-1,-2,35,8,8,7,7,5,3,3,2,0,0,-2
"15B","SP23","15","31","Female","Two or More Ethnicities","Hispanic, White",46,10,9,9,9,9,40,10,9,8,6,7,-6,0,0,-1,-3,-2,39,9,9,8,7,6,-7,-1,0,-1,-2,-3,42,10,9,9,8,6,-4,0,0,0,-1,-3
"C1",,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,
